studidnr,ev1,V3,EV3,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,EV16,EV17,EV18,EV19,EV20,EV21,EV22,EV23,EV24,EV25,EV27,V27b,EV26,V26b,EV28,V28b,V38,Alter,EV30,EV31,V32,_semester_evaluation,EV34,V45,EV35,EV36,EV37,Eingabedatum,Speicherdatum;
"OST_I001,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,1,1,4.5,2,1,1.5,4,4,1,1,1,""Ergänzungen, Muskeln und Nieren, Herz ausführlicher beschriften"",2,"""",999,"""","""",30,1,3,3,2,2,999,4,1,60,22-03-2022,07:28:37";
"OST_I002,1,1,2,1,1,1,1,5,1,2,1,1,1,5,3,2,2,2,8,5,1,5,1,1,1,1,""Daraus kann noch sehr viel gemacht werden"",2,"""",1,""alle Organe / Pathologie"",""mega cool und sympatischer Umgang"",29,1,3,3,2,2,999,4,1,60,22-03-2022,07:28:59";
"OST_I003,2,1,1,2,1,1,2,5,2,3,1,2,2,2,4,6,2.5,1.5,6.5,2.5,3.5,4,4,2,2,2,"""",2,"""",1,"""",""Für alle Organsysteme. Es würde helfen sie in der Grundbildung oder besser HF lernen die Auskultation kann man dann einfacher ableiten für Anatomie ist es besser"",27,1,3,3,2,2,999,4,1,40,22-03-2022,07:29:30";
"OST_I004,1,1,3,1,1,1,1,5,1,2,1,1,2,4,3,11,7,2.5,5,1,1.5,4,3,1,1,1,""andere Organe auch darstellen"",2,"""",1,""patho- und Physiologielehre"",""tolle Studie"",29,1,3,3,2,2,4,4,1,60,22-03-2022,07:29:54";
"OST_I005,2,2,2,2,2,2,2,4,2,2,2,2,2,4,4,1.5,7.5,6,5,4,6,4,4,2,2,2,"""",2,"""",2,"""","""",24,1,3,3,2,4,1,4,1,70,22-03-2022,07:30:14";
"OST_I006,2,1,3,2,1,2,3,5,2,3,2,2,2,2,4,4.5,5,4.5,7,4,2,4,4,2,3,2,"""",2,"""",2,"""","""",25,2,3,3,2,2,4,4,1,80,22-03-2022,07:30:32";
"OST_I007,1,1,1,2,2,1,1,5,1,2,2,1,2,5,4,2,2,3,2,2,1,4,4,1,2,2,"""",2,"""",2,"""","""",23,1,3,3,2,4,999,3,1,50,22-03-2022,07:31:00";
"OST_I008,1,1,2,1,2,1,3,5,2,1,2,1,1,4,5,7,2,2,3,6,1,4,4,1,1,999,"""",2,"""",1,""weitere Bereiche des CA, Lungenfunktion etc.";" Anatomie aufzeigen"",""Empfand die Möglichkeit die Herztöne zu simulieren und zu hören als sehr hilfreich"",26,1,3,3,2,3,4,4,1,60,22-03-2022,07:31:23"
"OST_I009,1,1,2,2,1,1,2,4,1,1,1,1,2,4,5,8,3,5,5,4,2,4,4,2,3,999,""live Bilder"",2,"""",999,""Abdomen"","""",24,1,3,3,2,3,4,3,1,55,22-03-2022,07:31:42";
"OST_I010,1,2,2,1,1,1,1,5,2,1,2,1,1,4,5,1.25,1.25,1,1,2,1,4,4,1,1,999,"""",2,"""",999,""Allgemein alle Organe ersichtlich machen"","""",25,1,3,3,2,4,999,4,1,50,22-03-2022,07:32:08";
"V001,1,1,1,1,1,1,1,5,1,2,1,1,1,1,5,1,1,4,1,6,1,4,4,1,1,1,""Beschreibung was ist und die Folgen, z.B. Stenose"",1,""Beschreibung was ist und die Folgen, z.B. Stenose"",999,"""","""",21,2,1,999,1,2,999,4,2,0,22-03-2022,16:47:05";
"V002,1,1,1,1,1,1,2,2,3,1,3,1,1,4,5,8.5,10.5,3.5,6,7,3,4,4,1,3,1,""Differenzierung der Geräusche auf die Auskultationspunkte"",1,""Bei der Wahl der Geräusche erscheint eine kurze Beschreibung auf"",1,""Lungenauskultation"",""sehr interessante Erfahrung";" vielen Dank."",999,1,1,1,1,999,999,999,999,999,22-03-2022,15:57:11"
"V003,1,1,1,1,1,1,1,5,1,3,1,1,2,5,5,4,1,8,2,7,1,4,999,1,1,2,"""",2,"""",1,""Bei allen Organen"",""Sollte im Unterricht mehr Zeit eingeplant werden"",19,1,1,1,1,2,999,4,,999,22-03-2022,16:34:39";
"V004,1,1,1,1,1,1,1,5,1,3,2,5,2,5,4,4,6,2,2,2,1,4,4,1,1,999,"""",1,""Fliessendes Blut keine Blutplättchen"",1,""Um andere Organe und Arterien sehen zukönnen, wie sie funktionieren"",""Danke dass ich das ausprobieren konnte"",21,1,1,1,1,5,5,4,,0,22-03-2022,16:41:11";
"V005,1,1,1,1,1,1,1,5,1,3,1,1,1,5,5,3,1,2.5,1,2,1,4,4,1,1,2,"""",2,"""",1,""allgemein Anatomie zustäzlich"","""",25,1,1,1,1,5,999,3,2,0,28-03-2022,14:27:51";
"V006,1,1,1,1,1,1,1,999,1,1,1,1,1,1,999,2,1,2,3,2,1,4,4,2,2,1,""Reale Herzdarstellung"",1,""mehr Sonderfälle inszeenieren"",1,""Lunge, Gastrointestinal"","""",47,2,1,1,1,3,999,4,2,0,28-03-2022,14:49:13";
