V27,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V23,V26,V25,V13,V14,V15,V17,V16,V18,V19,V20,V21,V22
001_CHG_WB_I,5,5,4,5,5,5,5,2,0,5,5,0,2,5,3,42,1,2,5,2,4,999,3,2,90
002_CHG_WB_S,5,5,5,5,5,5,5,5,5,5,0,0,1,0.5,3,999,1,2,999,999,999,999,999,999,999
003_CHG_WB_S,5,0,0,5,5,0,5,0,999,0,999,999,1,4,2,47,2,2,4,999,4,999,4,2,80
012_CHG_WB_I,5,5,5,0,0,5,5,2,0,5,2,5,2,2,5,35,1,2,6,999,4,999,3,2,90
013_CHG_WB_I,5,5,5,5,5,5,5,5,5,5,5,5,2,4,3,36,1,2,6,999,3,4,3,2,100
014_CHG_WB_S,5,5,3,5,5,5,5,0,0,999,0,5,1,8,10,51,1,2,6,999,4,999,4,2,80
015_CHG_WB_S,5,0,4,0,5,5,5,0,2,0,999,0,1,999,3,53,1,2,6,999,3,999,4,2,90
016_CHG_WB_S,5,5,5,5,5,5,5,5,5,5,5,5,1,0.5,3,30,1,2,6,1,3,4,3,2,60
017_CHG_WB_I,5,0,2,5,0,5,5,2,2,2,2,0,2,2,1,44,1,2,6,999,5,999,3,2,50
018_CHG_WB_I,0,0,1,5,5,5,5,0,5,5,2,5,2,0.5,1,25,1,2,6,1,3,4,3,2,90
019_CHG_WB_I,0,5,4,0,0,5,5,0,0,5,0,0,2,15,2,43,2,2,6,999,4,999,3,2,90
020_CHG_WB_I,5,5,4,5,5,5,5,5,5,5,5,5,2,0,5,46,1,2,6,999,999,999,3,2,100
021_CHG_WB_S,5,5,3,5,5,5,5,2,2,5,5,0,2,1,1,48,1,2,6,999,4,999,4,2,60
022_CHG_WB_I,5,0,0,5,5,5,5,0,2,5,999,999,2,2,8,41,2,2,1,1,4,999,3,2,80
023_CHG_WB_S,5,5,3,5,5,5,5,2,0,0,5,0,2,1,0,47,1,2,1,1,3,999,4,2,999
024_CHG_WB_I,5,5,2,5,5,5,5,2,2,5,5,5,2,0,3,43,1,2,1,3,4,999,3,2,100
004_CHG_WB_I,5,5,2,5,0,5,0,2,2,999,999,5,2,12,3,30,1,2,6,1,4,999,4,2,80
005_CHG_WB_I,5,5,4,5,5,5,5,0,5,5,5,5,2,10,6,34,2,2,6,2,3,4,3,2,100
006_CHG_WB_I,0,0,0,0,0,5,5,2,0,0,0,0,2,5,1,33,1,2,6,999,4,999,4,2,100
008_CHG_WB_I,5,0,4,5,5,5,5,0,2,5,2,5,2,1,2,34,1,2,1,1,4,999,4,2,90
009_CHG_WB_I,5,5,5,5,5,5,5,2,0,0,0,5,2,0,0,23,1,2,6,1,4,999,4,2,100
010_CHG_WB_I,5,5,4,5,5,5,5,2,2,5,5,0,2,4,5,27,1,2,5,1,4,999,3,2,80
011_CHG_WB_S,0,0,1,5,5,5,0,999,999,0,999,999,1,4,2,55,1,2,5,999,4,999,3,2,100
VWTN053,5,5,4,5,5,5,5,2,0,2,2,0,2,5,6,999,1,1,1,1,3,999,3,2,999
VWTN064,5,5,4,5,5,5,5,2,0,0,0,0,2,0,0,999,1,1,1,1,3,999,4,1,999
VWTN063,5,5,0,5,5,5,5,2,0,0,0,0,2,5,6,999,1,1,1,1,3,999,2,1,999
VWTN062,5,5,0,5,5,5,5,2,5,0,0,999,2,0,0,26,2,1,1,1,3,4,3,1,999
VWTN061,0,0,999,0,0,5,0,999,999,999,999,999,2,2,0,999,1,1,1,1,3,999,3,1,999
VWTN060,5,0,2,5,0,5,2,2,0,0,0,2,999,999,999,30,2,1,1,1,5,999,3,1,999
VWTN059,5,0,2,5,5,0,2,0,2,5,5,0,1,4,3,999,1,1,1,1,3,999,3,1,999
VWTN058,5,5,1,5,5,5,5,2,999,5,999,5,2,1,2,22,2,1,1,1,3,999,4,1,999
VWTN057,0,5,2,5,5,5,5,2,0,2,0,5,2,0,1,19,1,1,1,1,3,999,4,1,999
VWTN056,5,5,4,5,5,5,5,5,2,0,0,5,2,1,2,31,1,1,1,1,5,999,4,1,999
VWTN055,5,0,4,5,5,5,2,999,0,999,5,0,2,2,2,23,1,1,1,1,3,999,3,1,999
VWTN054,5,5,3,5,5,5,0,999,0,0,999,999,2,999,3,999,1,1,1,1,3,999,3,1,999
VWTN052,5,5,4,5,5,5,5,0,0,2,0,2,1,2,1,25,1,1,1,1,3,999,3,1,999
VWTN051,5,5,4,5,5,5,5,2,0,0,0,0,2,1,1,22,1,1,1,1,3,999,3,1,999
VWTN050,5,5,4,5,5,5,5,0,0,0,0,2,999,999,999,999,999,1,999,999,999,999,999,999,999
VWTN049,5,5,0,5,0,5,2,0,0,0,0,0,2,1,2,19,1,1,1,1,3,999,3,1,999
VWTN048,5,0,0,5,0,5,5,2,2,999,999,999,2,1,4,25,1,1,1,1,3,999,3,1,999
VWTN046,5,5,5,5,5,5,5,0,5,5,5,5,2,5,10,21,2,1,1,1,3,999,3,1,999
VWTN043,0,0,1,5,5,5,5,0,0,5,999,2,2,5,3,999,1,1,1,1,3,999,3,1,999
VWTN042,5,0,0,5,5,0,0,0,0,0,0,999,2,4,2,999,1,1,1,1,3,999,3,1,999
VWTN041,5,5,999,5,5,5,5,2,0,999,999,0,2,2,4,20,1,1,1,1,3,999,4,1,999
VWTN039,5,5,0,5,5,5,5,2,5,5,2,0,2,2,2,999,1,1,1,1,3,999,4,1,999
VWTN038,5,5,5,5,5,5,5,5,5,2,2,0,2,10,5,23,1,1,1,1,5,999,3,1,999
VWTN037,5,0,4,5,5,5,5,2,5,0,0,0,2,0,2,999,1,1,1,1,3,999,4,1,999
VWTN032,5,0,0,5,5,999,0,0,0,5,5,0,2,1,4,999,2,1,1,1,3,999,3,1,999
VWTN036,5,0,2,5,5,0,2,0,5,0,0,0,1,6,4,18,1,1,1,1,3,999,4,1,999
VWTN035,5,0,0,0,0,5,0,2,0,0,0,5,2,3,4,20,1,1,1,1,3,999,4,1,999
VWTN034,5,5,2,5,5,5,999,2,5,2,999,0,2,2,5,27,2,1,1,1,3,999,3,1,999
VWTN033,5,5,0,5,5,5,2,0,5,5,5,0,2,3,2,22,2,1,1,1,3,999,4,1,999
VWTN031,5,5,999,5,5,2,5,2,2,0,0,999,2,0,2,31,2,1,1,1,3,5,4,1,999
VWTN029,5,5,1,5,5,5,2,2,0,5,5,0,2,1,2,20,1,1,1,1,3,999,4,1,999
VWTN028,5,5,4,5,5,2,5,2,2,5,5,0,2,0,2,30,2,1,1,1,5,999,3,1,999
VWTN030,5,5,3,5,5,5,0,2,0,999,999,0,2,2,4,24,1,1,1,1,5,999,4,1,999
VWTN040,5,5,999,5,5,5,5,2,0,999,999,999,2,5,3,999,1,1,1,1,3,999,3,1,999
VWTN044,5,5,5,5,5,5,5,0,0,999,999,2,2,1,1,20,1,1,1,1,3,999,4,1,999
VWTN045,5,5,5,5,5,5,5,0,2,999,999,0,2,0.5,1,20,1,1,1,1,3,999,4,1,999
VWTN047,5,5,5,5,5,0,5,999,999,999,999,999,2,1,3,20,2,1,999,1,3,999,3,999,999
VWTN027,5,5,0,5,5,999,999,999,999,999,999,999,1,2,1,20,1,1,1,1,3,999,4,1,999
VWTN001,5,0,999,5,5,5,0,2,999,0,999,999,2,999,6,999,1,1,1,1,4,999,3,2,90
VWTN002,5,5,2,5,5,999,5,2,0,999,999,0,2,0,2,20,1,1,1,1,3,999,3,1,999
VWTN0035,5,5,4,5,5,5,0,2,2,0,0,0,2,1,3,19,1,1,1,1,3,999,3,2,999
VWTN004,5,0,999,5,5,999,5,999,999,5,999,999,999,999,1,999,2,1,1,1,3,999,3,1,999
VWTN005,5,0,3,5,5,0,5,0,2,0,0,999,2,0,1,21,1,1,1,1,3,5,4,1,999
VWTN006,5,5,5,5,5,5,5,0,2,5,0,0,2,999,10,19,2,1,1,1,3,5,2,2,999
VWTN007,0,999,4,5,0,5,5,2,2,0,0,0,2,4,28,47,2,1,1,1,3,999,2,1,999
VWTN008,0,0,999,5,5,999,2,2,0,999,999,0,2,4,0,999,1,1,1,1,3,999,4,1,999
VWTN009,5,5,3,5,5,5,5,2,0,0,0,0,2,1,3,999,1,1,1,1,3,999,3,1,999
VWTN010,0,0,4,5,0,5,5,0,2,5,0,0,2,1,5,999,2,1,1,1,2,999,4,1,999
VWTN011,0,0,999,5,5,999,2,0,999,0,0,0,2,0.5,2,999,1,1,1,1,3,999,3,1,999
VWTN012,5,5,5,5,5,5,5,0,2,0,0,5,1,4,8,21,1,1,1,1,3,999,3,1,999
VWTN013,0,0,0,5,5,5,5,0,0,0,0,0,2,4,3,24,1,1,1,1,3,999,3,1,999
VWTN014,5,5,5,5,5,5,5,0,5,5,2,0,2,2,7,30,1,1,1,1,3,999,3,1,999
VWTN015,0,5,999,5,5,0,0,0,999,999,999,999,2,3,1,999,1,1,1,1,5,999,3,1,999
VWTN016,5,5,0,0,0,0,2,0,0,999,999,0,2,10,3,22,1,1,1,1,3,999,3,2,20
VWTN017,0,5,0,5,5,999,5,0,0,999,999,0,2,0.5,2,19,1,1,1,1,3,999,3,1,999
VWTN018,5,0,2,0,0,0,999,0,999,999,999,999,2,1,1,54,999,1,1,1,3,999,3,1,999
VWTN019,5,5,4,5,5,0,2,2,0,5,0,0,2,4,2,19,1,1,1,1,3,999,2,1,999
VWTN020,5,0,3,5,5,0,0,0,2,5,5,0,2,2,6,28,1,1,1,1,3,5,3,2,999
VWTN021,5,0,4,5,5,0,0,0,999,5,5,0,2,1,2,23,1,1,1,1,3,999,3,1,999
VWTN022,5,0,2,0,0,0,0,0,0,0,0,0,2,10,3,23,1,1,1,1,3,999,3,1,999
VWTN023,5,0,0,5,5,5,2,2,0,999,999,0,1,999,2,999,1,1,1,1,3,999,3,1,999
VWTN024,5,0,0,5,5,5,5,2,2,0,2,0,2,5,6,999,1,1,1,1,3,999,3,1,999
VWTN025,5,5,0,5,5,0,0,999,999,0,999,0,2,2,2,22,1,1,1,1,3,999,3,1,999
VWTN026,5,5,3,5,5,999,5,2,0,999,999,0,2,0,1,19,1,1,1,1,3,999,3,1,999
