V23,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V17,V16,V18,V19,V20,V21,V22
023_CHG_WB_S,0,0,4,0,0,5,2,0,999,5,999,999,46,3,2,4,1,3,4,4,1,999
022_CHG_WB_I,5,0,0,0,0,5,5,2,0,999,999,999,41,2,2,4,1,4,999,4,2,80
002_CHG_WB_S,5,5,4,5,5,5,5,2,5,5,5,2,38,1,2,999,1,4,999,4,2,60
003_CHG_WB_S,0,0,2,0,0,0,5,0,2,5,5,999,47,2,2,4,4,4,999,4,2,100
006_CHG_WB_I,5,5,0,0,0,2,2,2,2,5,0,0,33,1,2,999,999,4,999,4,2,100
007_CHG_WB_I,5,0,2,5,5,5,5,2,0,5,2,0,27,1,2,999,999,3,4,3,2,100
008_CHG_WB_I,5,0,3,5,5,5,5,0,0,5,0,0,34,1,2,4,1,4,999,4,2,90
009_CHG_WB_I,5,5,5,5,5,5,5,2,0,5,5,999,23,1,2,999,1,4,999,4,2,100
010_CHG_WB_I,5,5,4,5,5,5,5,0,2,5,5,0,27,1,2,5,999,4,999,4,2,80
011_CHG_WB_S,5,0,5,0,5,5,0,0,0,0,0,0,999,1,2,5,999,4,999,4,2,100
005_CHG_WB_I,0,5,3,5,5,5,2,2,0,0,2,0,999,2,2,999,999,999,999,999,999,999
004_CHG_WB_I,5,0,0,5,5,5,5,0,0,0,0,0,30,1,2,5,999,4,999,4,2,80
001_CHG_WB_I,0,0,1,5,5,5,2,2,0,5,5,0,42,1,2,5,999,4,999,3,2,90
012_CHG_WB_I,5,5,2,5,5,5,5,0,2,5,5,0,35,1,2,5,999,4,999,4,2,90
015_CHG_WB_S,5,5,3,0,5,5,5,2,5,5,5,0,52,1,2,4,1,2,999,4,2,90
021_CHG_WB_S,5,5,3,5,5,5,5,2,5,5,5,0,47,1,2,5,999,4,999,4,2,60
018_CHG_WB_I,0,0,0,5,5,5,5,2,2,2,5,2,25,1,2,5,1,1,4,4,2,90
017_CHG_WB_I,5,0,4,5,5,5,5,2,2,5,5,2,44,1,2,6,1,5,5,4,2,50
019_CHG_WB_I,5,5,4,0,0,5,2,2,999,5,999,999,43,2,2,6,999,4,999,3,2,90
013_CHG_WB_I5,5,5,5,5,5,5,5,5,5,5,5,0,36,1,2,6,1,5,5,4,2,100
020_CHG_WB_I,5,5,4,5,5,5,5,2,5,5,5,5,45,1,2,6,999,5,999,3,2,100
014_CHG_WB_S,5,5,3,5,5,5,5,0,999,5,2,0,51,1,2,6,999,4,999,4,2,80
016_CHG_WB_S,0,0,1,5,5,5,5,2,2,5,5,2,29,1,2,6,1,3,4,4,2,60
024_CHG_WB_I,5,5,0,0,0,5,0,2,999,5,2,0,42,1,2,6,3,4,999,4,2,100
OST_I011,0,0,999,5,5,0,0,999,999,999,0,0,29,1,3,2,2,4,4,4,2,60
OST_I002,0,5,0,5,5,5,5,5,5,0,0,0,20,1,3,3,2,4,999,4,2,40
OST_I001,0,0,1,5,5,5,0,0,0,0,0,999,30,1,3,1,2,4,999,4,2,60
OST_I013,0,0,999,5,5,5,0,999,999,999,0,0,29,1,3,3,2,1,4,4,2,60
OST_I005,0,0,0,5,5,5,0,2,0,0,0,0,24,1,3,3,2,1,4,4,2,70
OST_I012,0,0,0,0,0,5,5,5,2,0,0,0,25,2,3,1,2,3,4,4,2,80
OST_I007,0,5,0,0,5,5,5,2,0,0,0,0,23,1,3,3,2,4,999,3,2,50
OST_I014,0,0,0,0,0,5,5,2,0,0,0,0,26,2,3,3,2,3,4,4,2,60
OST_I008,0,5,0,0,0,5,5,2,0,0,0,0,24,1,3,3,2,3,4,3,2,55
OST_S010,5,5,5,5,5,5,5,5,0,0,0,0,25,1,3,1,2,4,999,4,2,50
OST_S003,0,0,0,5,5,5,5,2,0,0,0,0,23,2,3,2,2,4,999,4,2,50
OST_S009,0,5,0,5,5,5,5,2,0,0,0,2,26,1,3,3,2,3,4,4,2,40
OST_S004,0,0,1,5,5,5,5,2,5,0,0,0,23,1,3,3,2,4,999,4,2,60
OST_S006,0,0,0,5,5,5,5,2,2,0,0,0,24,1,3,3,4,999,4,2,2,60
VWTV030,5,0,2,5,5,0,2,2,0,0,0,0,999,1,1,1,1,3,999,4,1,999
VWTV031,5,0,3,5,5,999,0,999,2,999,999,2,25,2,1,1,1,3,5,4,1,999
VWTV032,5,0,999,0,0,5,0,999,999,999,999,999,26,1,1,1,1,3,999,4,1,999
VWTV033,5,5,0,5,5,5,5,0,0,0,5,0,25,1,1,1,1,3,999,4,1,999
VWTV034,5,5,4,5,5,5,5,2,5,0,0,0,999,1,1,1,1,3,999,4,1,999
VWTV035,0,0,0,0,0,999,5,999,2,0,2,999,23,1,1,1,1,3,999,4,1,999
VWTV036,5,5,999,5,5,5,0,0,2,999,5,999,999,1,1,1,1,3,999,4,1,999
VWTV037,5,5,0,0,0,999,2,0,0,0,0,0,999,1,1,1,1,3,999,3,1,999
